,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
19,553.4145358403524,2.266900431113943,8.326457500457764,0.16613827791100141,1000,2,8,log2,20,True,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 'log2', 'max_depth': 20, 'bootstrap': True}",-6.482022710012281,-7.994286992886465,-6.553060141444508,-7.009789948114418,0.6967483536829219,3
20,846.7770521640778,5.7569444305885895,6.6287351449330645,0.13146823953637435,466,10,1,0.5,50,False,"{'n_estimators': 466, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 50, 'bootstrap': False}",-6.472766342739783,-8.098880736044457,-6.6138774961140125,-7.061841524966084,0.7355568563508835,31
21,880.7246719201406,5.18930289920292,7.922192017237346,0.14429173762469857,466,2,2,0.5,100,False,"{'n_estimators': 466, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 100, 'bootstrap': False}",-6.470892206517458,-8.094631557430423,-6.623496199426512,-7.063006654458131,0.7321245112626631,32
22,2361.621676603953,35.00707274657614,12.583297411600748,0.31145931735717003,1000,10,2,,110,True,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 110, 'bootstrap': True}",-6.722706485489477,-8.229889986737762,-6.853922685753115,-7.268839719326785,0.68167325270051,45
23,1017.3151646455129,18.95246110209369,4.994759400685628,0.3306827776425147,466,20,1,,40,True,"{'n_estimators': 466, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 40, 'bootstrap': True}",-6.736554873848346,-8.21467126888598,-6.855374230915835,-7.26886679121672,0.6705416180908774,46
24,176.478542248408,6.509419229929221,3.0026773611704507,0.09767158814982538,288,20,1,sqrt,90,True,"{'n_estimators': 288, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 90, 'bootstrap': True}",-6.47812157899965,-8.00933500047742,-6.5679541504112136,-7.018470243296094,0.701606346412578,9
25,676.7353395620981,15.786254337626493,3.83771022160848,0.19880134076393455,288,5,4,,80,True,"{'n_estimators': 288, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 80, 'bootstrap': True}",-6.719015411223793,-8.206771854094011,-6.844799509390024,-7.256862258235944,0.6736475785182746,43
26,135.0325162410736,0.4768070914340701,2.697347323099772,0.060834133480961464,200,10,1,log2,110,True,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 110, 'bootstrap': True}",-6.499772907595891,-8.027050934485423,-6.590580357157663,-7.039134733079659,0.6995452398875402,28
27,1136.2548072338104,17.508571396468206,5.236611366271973,0.1178885841714756,555,10,2,,20,True,"{'n_estimators': 555, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 20, 'bootstrap': True}",-6.692743479831763,-8.19935481988999,-6.814634744708985,-7.235577681476912,0.6833077147274706,42
28,408.4363124370575,14.84657874946373,6.928262551625569,0.16756602823183514,644,20,2,log2,80,True,"{'n_estimators': 644, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 80, 'bootstrap': True}",-6.487373907934569,-7.9998038679547525,-6.5661671444227885,-7.017781640104037,0.6951392357044903,8
29,417.84092966715497,7.088020746424273,8.092962741851807,0.1796004608462785,644,10,1,sqrt,60,True,"{'n_estimators': 644, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 60, 'bootstrap': True}",-6.486011467480979,-8.015753879487386,-6.57106662432343,-7.024277323763933,0.701939178437518,17
